crop,temp,humidity,gas,gradient,gas_trend,humidity_trend,confidence,current_risk,future_risk,time,spatial_score,gas_accel,label
Onion,5.77,57.93,821.6,3.306,-1.325,0.312,0.922,0.23,0.2409,M01_H00,0.603,1.0396,Low_Spoilage_Risk
Onion,14.69,82.76,1257.5,1.65,4.407,0.319,0.792,0.5454,0.5662,M01_H09,0.802,2.5205,High_Spoilage_Risk
Garlic,24.14,70.8,742.1,1.877,7.452,-0.73,0.874,0.3883,0.4015,M10_H15,0.775,0.4134,Moderate_Spoilage_Risk
Black_Gram,41.68,54.2,927.4,2.506,12.588,0.118,0.882,0.4324,0.4523,M07_H08,0.699,2.1289,Moderate_Spoilage_Risk
Wheat,6.37,72.79,916.9,0.21,-6.63,0.321,0.858,0.4693,0.4622,M10_H02,0.975,-2.0714,Moderate_Spoilage_Risk
Black_Gram,33.41,75.34,1391.9,3.408,9.651,-0.62,0.833,0.942,0.923,M12_H23,0.591,1.6894,Critical_Spoilage
Rice_Processed,27.79,75.62,1020.5,4.167,4.997,1.315,0.937,0.5707,0.5948,M09_H01,0.5,-0.8869,High_Spoilage_Risk
Lentil,32.87,79.61,1374.3,4.974,19.578,-0.842,0.957,0.9736,0.9941,M09_H03,0.403,6.5234,Critical_Spoilage
Rice_Processed,22.49,49.74,853.8,3.331,1.1,1.279,0.907,0.2333,0.2215,M10_H21,0.6,-0.6571,Low_Spoilage_Risk
Sugarcane_Ratoon,10.13,60.97,539.9,2.948,-4.396,-0.225,0.826,0.1324,0.1263,M01_H07,0.646,0.3148,Safe
Potato,11.96,99,483.8,1.767,-0.489,0.826,0.715,0.4796,0.5073,M08_H09,0.555,-0.1195,Moderate_Spoilage_Risk
Groundnut,38.02,55.77,970.5,3.665,18.552,-0.63,0.907,0.5414,0.5686,M03_H07,0.56,-1.696,High_Spoilage_Risk
Maize,15.14,77.34,817.5,0.999,-3.381,0.044,0.908,0.4412,0.416,M11_H07,0.88,0.2018,Moderate_Spoilage_Risk
Jute_Seed,20.68,69.06,949.1,4.134,7.206,-0.534,0.994,0.3718,0.417,M12_H13,0.504,-1.71,Moderate_Spoilage_Risk
Rice_Processed,23.34,58.51,576.3,1.65,-5.175,-0.309,0.821,0.0748,0.0518,M02_H18,0.802,0.6422,Safe
Rice_Paddy,13.11,48.85,761.6,4.078,-12.971,-0.369,0.842,0.2517,0.2749,M11_H15,0.511,-1.6565,Low_Spoilage_Risk
Garlic,27.75,56.77,921.3,1.885,-2.403,1.011,0.868,0.447,0.4964,M04_H13,0.774,2.5091,Moderate_Spoilage_Risk
Garlic,-1.25,51.68,468.7,0.481,-13.325,1.08,0.932,0.1504,0.1638,M12_H03,0.942,-1.1178,Low_Spoilage_Risk
Mustard_Seed,21.59,66.17,764.3,1.186,11.881,-0.856,0.886,0.3465,0.3895,M07_H19,0.858,-1.5372,Moderate_Spoilage_Risk
Maize,32.05,75.24,871.6,2.407,7.409,0.088,0.971,0.6243,0.6228,M08_H15,0.711,2.364,High_Spoilage_Risk
Rice_Paddy,14.65,66.71,424.4,1.707,-10.154,-0.246,0.949,0.0573,0.0691,M07_H02,0.795,2.0846,Safe
Wheat,23.56,71.11,1001.5,1.03,7.188,-1.34,0.959,0.4209,0.4157,M09_H12,0.876,2.1512,Moderate_Spoilage_Risk
Mustard_Seed,26.56,63.35,812.0,3.682,-4.823,0.21,0.907,0.4254,0.4002,M09_H05,0.558,0.0916,Moderate_Spoilage_Risk
Groundnut,29.76,49.25,890.5,2.35,9.154,-0.647,0.917,0.4989,0.5056,M01_H08,0.718,2.9229,High_Spoilage_Risk
Garlic,23.94,80.82,1015.9,0.543,9.9,0.219,0.833,0.6997,0.7021,M03_H13,0.935,-1.5637,Critical_Spoilage
Groundnut,23.09,58.9,654.4,1.479,-7.247,-0.043,0.992,0.0866,0.0974,M05_H00,0.823,1.1363,Safe
Lentil,9.31,71.91,717.0,0.942,3.882,1.848,0.891,0.3865,0.3962,M06_H23,0.887,-3.0537,Moderate_Spoilage_Risk
Sugarcane_Ratoon,41.5,69.8,1018.2,4.678,14.522,-0.065,0.85,0.4991,0.4909,M11_H10,0.439,-1.3859,Moderate_Spoilage_Risk
Rice_Processed,31.27,60.71,406.8,0.612,-19.384,1.03,0.846,0.0566,0.0799,M07_H14,0.927,3.714,Safe
Mustard_Seed,11.02,49.59,634.9,1.213,-12.635,-0.027,0.963,0.0788,0.1281,M06_H11,0.854,-4.1873,Safe
Potato,3.97,88.58,743.8,2.552,-1.259,0.887,0.881,0.1047,0.1277,M09_H21,0.634,2.3124,Safe
Jute_Seed,30.5,50.93,799.7,2.741,-18.017,0.487,0.956,0.1759,0.2013,M07_H17,0.671,-2.5707,Low_Spoilage_Risk
Maize,37.48,64.19,1305.3,1.267,17.91,1.008,0.89,0.5106,0.5228,M09_H21,0.848,0.1311,High_Spoilage_Risk
Rice_Processed,16.92,48.43,603.7,4.38,-0.456,-1.088,0.895,0.1816,0.1986,M02_H02,0.474,-2.0653,Low_Spoilage_Risk
Groundnut,3.35,51.04,662.1,3.266,-11.268,-0.419,0.99,0.2208,0.2452,M11_H01,0.608,-2.4586,Low_Spoilage_Risk
Black_Gram,20.69,46.8,494.8,0.857,-12.856,-0.288,0.95,0.0359,0.0751,M12_H01,0.897,-2.0125,Safe
Garlic,3.7,57.94,715.8,3.325,-10.892,0.169,0.99,0.2214,0.221,M03_H12,0.601,1.7218,Low_Spoilage_Risk
Groundnut,15.91,45.82,626.4,3.671,-16.67,-0.855,0.993,0.1949,0.1677,M10_H10,0.559,-0.068,Low_Spoilage_Risk
Mustard_Seed,29.56,47.99,712.8,0.254,10.34,0.777,0.926,0.2793,0.2938,M09_H23,0.97,1.0349,Low_Spoilage_Risk
Rice_Paddy,28.55,60.9,390.1,1.613,4.524,-0.221,1.0,0.0704,0.0685,M12_H21,0.806,0.2057,Safe
Chickpea,35.94,67.68,893.3,3.323,14.499,0.21,0.83,0.6253,0.6699,M03_H19,0.601,2.6875,High_Spoilage_Risk
Sugarcane_Ratoon,32.96,58.91,981.7,3.571,0.523,-0.862,0.945,0.3403,0.3819,M10_H22,0.571,2.6179,Moderate_Spoilage_Risk
Maize,18.78,57.2,747.3,4.874,-4.517,0.322,0.952,0.1765,0.1673,M10_H23,0.415,-1.758,Low_Spoilage_Risk
Rice_Paddy,27.51,78.53,1065.8,3.436,5.471,-0.307,0.87,0.5948,0.6448,M06_H05,0.588,-4.1457,High_Spoilage_Risk
Groundnut,33.63,61.81,646.3,2.987,13.296,-0.344,0.898,0.3755,0.4299,M09_H08,0.642,1.423,Moderate_Spoilage_Risk
Wheat,13.71,65.22,671.5,0.36,-3.418,-0.078,0.973,0.0643,0.1034,M11_H16,0.957,-1.1954,Safe
Onion,-2,98.04,1480.7,4.803,28.327,0.636,0.787,0.861,0.9195,M08_H03,0.206,2.4855,Critical_Spoilage
Garlic,0.62,77.95,515.5,1.573,-7.878,1.224,0.923,0.3633,0.4085,M11_H21,0.811,1.0473,Moderate_Spoilage_Risk
Onion,10.44,73.7,538.6,3.248,0.653,-0.129,0.92,0.1457,0.1419,M04_H20,0.61,-2.6953,Safe
Sugarcane_Ratoon,39.53,83.81,1007.7,2.326,-0.735,0.822,0.851,0.59,0.5945,M06_H04,0.721,3.019,High_Spoilage_Risk
Onion,9.57,57.31,861.9,4.107,-1.273,-0.676,0.908,0.2326,0.2136,M11_H10,0.507,-0.3711,Low_Spoilage_Risk
Potato,25.23,99,1233.3,2.781,23.174,0.819,0.58,0.9381,0.998,M09_H07,0.433,1.8111,Critical_Spoilage
Maize,23.93,53.27,899.2,3.737,0.121,-1.842,0.916,0.2946,0.3291,M01_H20,0.552,0.9601,Moderate_Spoilage_Risk
Garlic,16.48,63.78,587.9,2.384,11.123,-0.127,0.848,0.1871,0.2099,M11_H01,0.714,0.6461,Low_Spoilage_Risk
Sugarcane_Ratoon,37.19,90.47,1126.4,1.17,9.076,0.337,0.662,0.7322,0.7178,M02_H02,0.768,-0.8827,Critical_Spoilage
Black_Gram,22.81,72.42,873.9,3.83,9.069,1.19,0.916,0.4949,0.5554,M01_H10,0.54,2.7478,High_Spoilage_Risk
Garlic,16.34,64.69,838.1,2.938,19.82,-0.201,0.923,0.2665,0.3182,M03_H14,0.647,1.261,Low_Spoilage_Risk
Onion,-1.0,59.9,677.3,2.164,-4.113,0.212,0.856,0.2472,0.2589,M01_H10,0.74,-0.5372,Low_Spoilage_Risk
Rice_Paddy,29.58,60.51,473.1,2.71,-0.145,1.015,0.891,0.1745,0.1867,M03_H08,0.675,-0.7103,Low_Spoilage_Risk
Chickpea,14.58,62.12,557.9,2.987,-9.373,0.388,0.915,0.14,0.1396,M08_H05,0.642,-1.0319,Safe
Chickpea,30.1,68.0,1078.7,2.499,18.841,0.131,0.911,0.5208,0.553,M08_H22,0.7,1.7117,High_Spoilage_Risk
Black_Gram,34.84,55.82,876.4,2.016,16.331,-0.641,0.926,0.3952,0.3821,M02_H14,0.758,0.8199,Moderate_Spoilage_Risk
Chickpea,22.92,67.37,832.0,2.976,2.854,0.077,0.875,0.3242,0.3512,M10_H02,0.643,0.8967,Moderate_Spoilage_Risk
Garlic,9.7,64.6,416.0,3.0,2.929,-0.064,0.828,0.1386,0.1855,M04_H17,0.64,0.1452,Low_Spoilage_Risk
Black_Gram,26.82,77.64,1214.3,4.335,1.648,0.002,0.869,0.7127,0.7367,M01_H00,0.48,-0.1835,Critical_Spoilage
Groundnut,31.98,56.38,758.7,4.818,-1.842,-0.964,0.93,0.4582,0.4357,M04_H08,0.422,2.0709,Moderate_Spoilage_Risk
Lentil,11.18,64.31,781.8,2.809,-0.68,0.395,0.914,0.2689,0.3044,M10_H04,0.663,2.5696,Low_Spoilage_Risk
Chickpea,33.65,63.9,536.1,0.712,3.227,1.046,0.887,0.3193,0.3755,M06_H12,0.915,1.4016,Moderate_Spoilage_Risk
Garlic,12.03,65.2,740.5,4.987,7.276,1.405,0.861,0.234,0.2297,M07_H10,0.402,0.544,Low_Spoilage_Risk
Mustard_Seed,6.48,48.19,428.4,1.409,-20.74,-1.273,0.823,0.0845,0.0596,M11_H09,0.831,-0.5875,Safe
Maize,29.02,69.19,787.9,1.42,-1.457,-0.391,0.828,0.2063,0.2125,M06_H04,0.83,-1.2282,Low_Spoilage_Risk
Garlic,-0.32,81.65,694.0,2.084,-1.761,0.787,0.789,0.5712,0.606,M10_H00,0.75,-1.6089,High_Spoilage_Risk
Chickpea,37.13,74.58,797.0,4.808,21.696,1.294,0.95,0.7868,0.7761,M02_H19,0.423,-0.0911,Critical_Spoilage
Groundnut,20.88,74.35,971.8,2.129,5.953,-1.339,0.993,0.6219,0.6663,M07_H12,0.745,2.4397,High_Spoilage_Risk
Lentil,9.58,77.02,911.2,4.234,2.555,-0.563,0.836,0.6487,0.6931,M08_H06,0.492,-1.5596,High_Spoilage_Risk
Wheat,38.96,69.33,801.1,4.748,3.837,-0.117,0.978,0.6533,0.6772,M06_H15,0.43,-0.9075,High_Spoilage_Risk
Potato,19.92,85.98,782.2,0.809,7.487,0.255,0.748,0.2961,0.2775,M06_H22,0.887,0.8464,Low_Spoilage_Risk
Rice_Paddy,27.0,76.54,1056.2,1.617,-7.121,-0.794,0.966,0.462,0.5077,M06_H09,0.806,3.1323,Moderate_Spoilage_Risk
Chickpea,17.01,74.12,888.3,1.379,3.759,0.368,0.959,0.4536,0.4983,M12_H15,0.835,4.8603,Moderate_Spoilage_Risk
Groundnut,27.46,54.02,899.6,2.838,-10.283,-0.866,0.903,0.3429,0.3626,M04_H05,0.659,0.2945,Moderate_Spoilage_Risk
Rice_Processed,37.28,52.01,1128.3,1.725,4.435,-0.439,0.91,0.4471,0.4366,M02_H09,0.793,4.1722,Moderate_Spoilage_Risk
Garlic,16.27,81.0,1084.7,2.043,-7.246,0.198,0.761,0.6529,0.6483,M09_H16,0.755,3.578,High_Spoilage_Risk
Chickpea,14.78,64.09,472.6,0.79,2.041,-0.195,0.842,0.0905,0.1008,M03_H06,0.905,0.2847,Safe
Onion,16.63,79.39,1094.6,1.872,1.455,2.262,0.84,0.4508,0.484,M10_H09,0.775,2.5577,Moderate_Spoilage_Risk
Garlic,22.02,62.22,924.0,1.465,4.394,0.963,0.925,0.332,0.3688,M06_H20,0.824,5.1622,Moderate_Spoilage_Risk
Black_Gram,9.27,48.56,554.6,1.347,-3.77,-0.321,0.911,0.0649,0.0873,M12_H18,0.838,2.1083,Safe
Maize,36.06,58.81,723.8,3.332,8.55,0.117,0.975,0.4171,0.4082,M08_H00,0.6,-0.0118,Moderate_Spoilage_Risk
Wheat,26.22,78.56,848.9,0.777,11.633,0.716,0.861,0.5871,0.6478,M09_H17,0.907,0.7583,High_Spoilage_Risk
Maize,14.02,68.77,536.4,2.034,-6.789,-1.446,0.921,0.0846,0.0868,M10_H22,0.756,3.8059,Safe
Groundnut,33.24,68.62,691.1,2.564,8.661,-0.339,0.948,0.6596,0.6458,M08_H10,0.692,0.3445,High_Spoilage_Risk
Black_Gram,36.53,57.92,671.2,2.339,12.932,0.278,0.893,0.3583,0.3884,M09_H02,0.719,0.0063,Moderate_Spoilage_Risk
Groundnut,36.43,57.26,1356.3,1.813,8.704,1.374,0.955,0.534,0.5943,M04_H19,0.782,1.9065,High_Spoilage_Risk
